Name,Age,Gender,Salary,Joining_Date,City
Andrea Garcia,64.0,Other,,2021-11-23,North Alexandria
Ryan Sandoval,28.0,,50883.76,,East Paigeton
Stephen Sherman,36.0,Male,32762.15,2020-05-27,Herringchester
Maria Scott,,Female,71278.72,2021-11-29,New James
Charles King,40.0,Male,,,Schwartzhaven
Francis Fields,31.0,,64597.67,,West Sophiastad
Tiffany Ortiz,45.0,Female,58874.62,2022-02-20,Jeremiahton
Stephanie Caldwell,,Female,53637.02,2023-06-04,Garzaland
Brian Doyle,41.0,male,,2022-04-22,Jamieton
Robin Malone,31.0,female,79673.8,,Kristenfort
Joshua Reyes,20.0,Other,,2022-10-13,Port Kristieland
Hannah Wilson,30.0,Female,90118.68,,Rileyshire
Douglas Baker,62.0,male,64276.79,,East Derrick
Janet Miller MD,,Other,98027.45,,Port Karenport
,,,110869.02,,Rogerfort
Jeremy Gray,48.0,Male,54122.2,2021-04-05,Alanchester
Maria Martin,,Female,94632.93,,Jamesmouth
Karen Hernandez,41.0,Female,,2020-10-25,West Jennifer
,36.0,Female,,2023-08-27,West Jonathan
,19.0,,74963.65,,Rowefurt
Amy Vasquez,18.0,Female,,,Timothyview
Sherry Parsons,35.0,female,69983.65,,Parkerville
Lori Horn,,female,50293.74,2021-11-01,Cheyenneport
Ronald Adams,35.0,Male,91489.35,2021-05-09,North Kyle
Debra Holden,,,100520.08,2023-02-04,New Williamville
Ashley Stevenson,,female,32810.96,2021-01-27,South Jasminshire
Kathy Meyer,25.0,,,2021-08-27,North Connieberg
Austin Hess,34.0,male,63334.18,,Kristinshire
Mary Figueroa,61.0,Female,52124.81,2022-08-12,North Jonathonland
,48.0,female,78403.11,,Wilsonstad
Lisa Sims,,Female,,2020-02-13,Wattsmouth
,43.0,male,,2022-07-01,Darleneberg
Sharon Charles,41.0,Female,63667.21,,West Erinstad
Lisa Delacruz,34.0,female,79947.47,2022-06-19,East Jonathan
Ana Keller,,Female,39778.86,,South Karinashire
Debra Estrada,27.0,female,,,North Kimberlyborough
Patrick Rodgers,47.0,Other,30057.98,2023-03-07,Robertschester
Robert Williams,,Male,89146.02,2020-03-08,Port Gregorymouth
Anthony Ramirez,21.0,male,105230.73,,Cookshire
Brent Hunter,45.0,male,,2020-07-18,Lake Kennethville
Linda Serrano,31.0,Other,,2024-01-24,Morrisfurt
Thomas Mckay,,Male,,2021-10-01,New Amandaville
Brian Johnson,51.0,Male,67957.09,2020-06-29,North Alexander
Joshua Page,37.0,Other,85022.74,,North Stephanieside
James Maldonado,40.0,Other,115482.56,2020-02-23,Cheyenneberg
Aaron Mendoza,,Other,,,Port Daniel
Alyssa Cooley,,Other,44519.87,2024-01-26,East Josephmouth
Margaret Vasquez DDS,59.0,Female,,,Cynthiafurt
Chad Hawkins,24.0,Male,68600.18,,Victorfurt
Jennifer Mcpherson,,,35744.93,2021-02-24,Halemouth
Mary Weaver,39.0,female,49858.31,,Jessicamouth
,26.0,Male,115629.0,,Angelaton
Cindy Fuller,48.0,,,,Patricialand
,43.0,,,,Port Jodyberg
Leslie Mayo,43.0,female,80414.76,2020-05-12,Port Lisa
Bruce Herring,25.0,male,49902.11,,North Joan
Holly Tyler,51.0,Female,,2021-11-06,Brandonberg
Tyler Mendez,,male,63541.83,2023-07-19,Lake Juliaport
Christopher Poole,20.0,,50321.04,,Juliefort
Jerry Wilcox,,male,113779.15,2020-02-17,Ramirezmouth
Christopher Winters,42.0,Other,81435.7,,East Charlesmouth
Kristina Meyer,23.0,female,72182.36,,East Reneefurt
Robert Williams,,,87779.49,2021-10-05,Danielville
Melissa Ruiz,,female,110394.68,,Port Jeffberg
Laura Wilson,37.0,Other,36904.95,,South Darlene
Ashley Hebert,,female,,,New Catherine
Gregory Smith,18.0,,68886.59,2020-03-29,Port Morganstad
Leslie Chavez,46.0,Other,71009.67,,South Eddie
,,,71282.06,2022-02-28,West Larry
Mark Weaver,21.0,male,,2020-03-22,Allenhaven
,,,,,Davidville
Alejandro Baker,46.0,Other,,,South Amy
Meredith Walsh,41.0,female,,,New Emilyshire
Lori Carey,32.0,Female,33129.21,2021-01-08,Lake Rita
Bradley Brown,,,101771.75,2023-10-03,Gibbsmouth
Catherine Parks,,,99554.59,2023-09-08,South Christinamouth
Erica Munoz,,Female,34317.53,2023-06-29,West Heather
Susan Morris,39.0,Female,87518.77,,South Andrewshire
Jacob Robles,35.0,,91336.6,2024-03-20,Perezview
Susan Coleman,32.0,female,,2023-03-26,Richardton
Adam Brady,,male,81897.1,,Benjaminchester
Kerri Morrison,49.0,,35040.14,,East Marieville
Christopher Curtis,49.0,male,42634.42,2022-04-27,Hornefurt
Joshua Duarte,22.0,Male,62845.5,,Scottchester
Carlos Ellis,22.0,Other,103819.37,,New Mathew
Tammy Brown,,Female,45363.05,2020-01-23,Gregoryville
Brittney Parker,60.0,female,,2020-04-08,Port Michael
Shari Kim,,Female,75371.5,2022-09-22,New Erik
Brian Gray,47.0,,79652.56,2023-02-05,South Williamborough
,43.0,male,60020.0,2023-09-10,Jessicamouth
Alvin Garrett,31.0,Male,66292.66,2021-06-07,Lake Anthonyport
Jacqueline Miller PhD,,Female,118382.31,2023-05-04,Boydtown
Tyler Curtis MD,,Male,,,Lake Michael
Misty Huang,34.0,Female,,,Lake Candacestad
Michael Robinson,,Male,34909.62,2022-09-21,North Todd
Karen Frazier,52.0,female,76125.01,2023-01-20,Haynesport
Amy Herrera,,female,99462.53,,Barajasburgh
Melissa Donaldson,45.0,female,75051.1,,Kristishire
Meredith Soto,57.0,Female,,,Jamestown
Rachael Padilla,42.0,Female,40474.0,,Nielsenland
Stephen Sherman,36.0,Male,32762.15,2020-05-27,Herringchester
Hannah Wilson,30.0,Female,90118.68,,Rileyshire
Brittney Moss,19.0,,74963.65,,Rowefurt
Douglas Baker,62.0,male,64276.79,,East Derrick
Joshua Page,37.0,Other,85022.74,,North Stephanieside
